timestamp,open,high,low,close,volume
2024-10-11,224.5000,229.7500,221.3300,227.5500,164894870
2024-10-04,230.0400,233.0000,223.0200,226.8000,222348300
2024-09-27,227.3400,229.5200,224.0200,227.7900,210673480
2024-09-20,216.5400,233.0900,213.9200,228.2000,550232897
2024-09-13,220.8200,224.0400,216.7100,222.5000,237622914
2024-09-06,228.5500,229.0000,217.4800,220.8200,178491741
2024-08-30,226.7600,232.9200,223.8905,229.0000,209486001
2024-08-23,225.7200,228.3400,223.0400,226.8400,188124897
2024-08-16,216.0700,226.8271,215.6000,226.0500,214898250
2024-08-09,199.0900,216.7800,196.0000,216.2400,342088289
2024-08-02,216.9600,225.6000,215.7500,219.8600,296061436
2024-07-26,227.0100,227.7800,214.6200,217.9600,242932215
2024-07-19,236.4800,237.2300,222.2700,224.3100,278397452
2024-07-12,227.0900,233.0800,223.2500,230.5400,287640514
2024-07-05,212.0900,226.4500,211.9200,226.3400,216231316
2024-06-28,207.7200,216.0700,206.5900,210.6200,335969485
2024-06-21,213.3700,218.9500,207.1100,207.4900,506265358
2024-06-14,196.9000,220.2000,192.1500,212.4900,635755143
2024-06-07,192.9000,196.9400,192.5200,196.8900,245994434
2024-05-31,191.5100,193.0000,189.1000,192.2500,230454285
2024-05-24,189.3250,192.8231,186.6250,189.9800,208652122
2024-05-17,185.4350,191.0950,184.6200,189.8700,288966571
2024-05-10,182.3540,185.0900,180.4200,183.0500,300674993
2024-05-03,173.3700,187.0000,169.1100,183.3800,441926366
2024-04-26,165.5150,171.3400,164.7700,169.3000,241302722
2024-04-19,175.3600,176.6300,164.0750,165.0000,309416498
2024-04-12,169.0300,178.3600,167.1100,176.5500,321898799
2024-04-05,171.1900,171.9200,168.2302,169.5800,233688457
2024-03-28,170.5650,173.6000,169.4500,171.4800,237622732
2024-03-22,175.5700,178.6700,170.0600,172.2800,361583938
2024-03-15,172.9400,174.3800,170.2850,172.6200,364748130
2024-03-08,176.1500,176.9000,168.4900,170.7300,393262265
2024-03-01,182.2400,183.9225,177.3800,179.6600,354385890
2024-02-23,181.7900,185.0400,180.0000,182.5200,192607112
2024-02-16,188.4150,188.6700,181.3500,182.3100,268128941
2024-02-09,188.1500,191.0500,185.8400,188.8500,252715796
2024-02-02,192.0100,192.2000,179.2500,185.8500,325909883
2024-01-26,192.3000,196.3800,191.9400,192.4200,255368848
2024-01-19,182.1600,191.9500,180.3000,191.5600,259829213
2024-01-12,182.0850,187.0500,181.5000,185.9200,238385377
2024-01-05,187.1500,188.4400,180.1700,181.1800,275083628
2023-12-29,193.6100,194.6600,191.0900,192.5300,153541162
2023-12-22,196.0900,197.6800,192.9700,193.6000,231859933
2023-12-15,193.1100,199.6200,191.4200,197.5700,379414755
2023-12-08,189.9800,195.9900,187.4511,195.7100,251797045
2023-12-01,189.9200,192.0900,188.1900,191.2400,216481441
2023-11-24,189.8900,192.9300,189.2500,189.9700,148351454
2023-11-17,185.8200,190.9600,184.2100,189.6900,262880715
2023-11-10,176.3800,186.5650,176.2100,186.4000,303653020
2023-11-03,169.0200,177.7800,167.9000,176.6500,310075876
2023-10-27,170.9100,174.0100,165.6700,168.2200,286078102
2023-10-20,176.7500,179.0750,172.6400,172.8800,288377600
2023-10-13,176.8100,182.3400,175.8000,178.8500,241839090
2023-10-06,171.2200,177.9900,170.8200,177.4900,260574027
2023-09-29,174.2000,176.9700,167.6200,171.2100,285838995
2023-09-22,176.4800,179.6950,173.8600,174.7900,297395196
2023-09-15,180.0700,180.3000,173.5800,175.0100,403746390
2023-09-08,188.2800,189.9800,173.5400,178.1800,305126712
2023-09-01,180.0900,189.9200,178.5450,189.4600,264199503
2023-08-25,175.0700,181.5500,173.7350,178.6100,247514268
2023-08-18,177.9700,179.6900,171.9600,174.4900,261498109
2023-08-11,182.1300,183.1300,176.5500,177.7900,332501087
2023-08-04,196.0600,196.7300,181.9200,181.9900,302694989
2023-07-28,193.4100,197.2000,192.2500,195.8300,226011789
2023-07-21,191.9000,198.2300,191.2300,191.9400,310914135
2023-07-14,189.2600,191.7000,186.6000,190.6900,250269110
2023-07-07,193.7800,193.8800,189.2000,190.6800,170349466
2023-06-30,186.8300,194.4800,185.2300,193.9700,281596832
2023-06-23,184.4100,187.5600,182.5901,186.6800,203677112
2023-06-16,181.2700,186.9900,180.9700,184.9200,333836397
2023-06-09,182.6300,184.9510,177.3200,180.9600,347854340
2023-06-02,176.9600,181.7800,176.5700,180.9500,286176391
2023-05-26,173.9800,175.7700,170.5200,175.4300,250354916
2023-05-19,173.1600,176.3900,170.4201,175.1600,258634688
2023-05-12,172.4800,174.5900,171.0000,172.5700,250061982
2023-05-05,169.2800,174.3000,164.3100,173.5700,360723248
2023-04-28,165.0000,169.8500,162.8000,169.6800,254947569
2023-04-21,165.0900,168.1600,164.0300,165.0200,249150510
2023-04-14,161.4200,166.3200,159.7800,165.2100,263326290
2023-04-06,164.2700,166.8400,161.8000,164.6600,200156349
2023-03-31,159.9400,165.0000,155.9800,164.9000,267939590
2023-03-24,155.0700,162.1400,154.1500,160.2500,350159914
2023-03-17,147.8050,156.7400,147.7000,155.0000,410519933
2023-03-10,153.7850,156.3000,147.6096,148.5000,313350829
2023-03-03,147.7100,151.1100,143.9000,151.0300,274036517
2023-02-24,150.2000,151.3000,145.7202,146.7100,213742390
2023-02-17,150.9520,156.3300,150.8500,152.5500,316887898
2023-02-10,152.5750,155.2300,149.2200,151.0100,330758787
2023-02-03,144.9550,157.3800,141.3200,154.5000,480249683
2023-01-27,138.1200,147.2300,137.9000,145.9300,338655715
2023-01-20,134.8300,138.6100,133.7700,137.8700,271823466
2023-01-13,130.4650,134.9200,128.1200,134.7600,333335284
2023-01-06,130.2800,130.9000,124.1700,129.6200,369948527
2022-12-30,131.3800,131.4100,125.8700,129.9300,307184140
2022-12-23,135.1100,136.8100,129.6400,131.8600,384620427
2022-12-16,142.7000,149.9692,133.7300,134.5100,505728804
2022-12-09,147.7700,150.9199,140.0000,142.1600,341500071
2022-12-02,145.1400,149.1300,140.3550,147.8100,401189067
2022-11-25,150.1600,151.8300,146.9250,148.1100,204025457
2022-11-18,148.9700,153.5900,146.1500,151.2900,382679685
2022-11-11,137.1100,150.0100,134.5933,149.7000,461034592
2022-11-04,153.1550,155.4500,134.3800,138.3800,510660451
2022-10-28,147.1850,157.5000,144.1300,155.7400,513092901
2022-10-21,141.0650,147.8479,140.2700,147.2700,397216487
2022-10-14,140.4200,144.5200,134.3700,138.3800,424188362
2022-10-07,138.2100,147.5400,137.6850,140.0900,435940423
2022-09-30,149.6600,154.7200,138.0000,138.2000,577537048
2022-09-23,149.3100,158.7400,148.5600,150.4300,473155533
2022-09-16,159.5900,164.2600,148.3700,150.7000,568337936
2022-09-09,156.4700,157.8200,152.6800,157.3700,313749966
2022-09-02,161.1450,162.9000,154.6700,155.8100,389809404
2022-08-26,169.6900,171.0500,163.5600,163.6200,307194601
2022-08-19,171.5200,176.1500,171.3101,171.5200,322647151
2022-08-12,166.3700,172.1700,163.2500,172.1000,318856922
2022-08-05,161.0100,167.1900,159.6300,165.3500,322415021
2022-07-29,154.0100,163.6300,150.8000,162.5100,370548915
2022-07-22,150.7400,156.2800,146.7000,154.0900,360988692
2022-07-15,145.6700,150.8600,142.1201,150.1700,366480107
2022-07-08,137.7700,147.5500,136.9300,147.0400,278295402
2022-07-01,142.6950,143.4900,133.7737,138.9300,373781666
2022-06-24,133.4200,141.9100,133.3200,141.6600,315960327
2022-06-17,132.8700,137.3400,129.0400,131.5600,541006195
2022-06-10,147.0300,149.8697,137.0600,137.1300,354396344
2022-06-03,149.0700,151.7400,144.4600,145.3800,338923395
2022-05-27,137.7900,149.6800,137.1400,149.6400,495921758
2022-05-20,145.5500,149.7700,132.6100,137.5900,548244690
2022-05-13,154.9250,156.7400,138.8000,147.1100,686227375
2022-05-06,156.7100,166.4800,153.2700,157.2800,566193362
2022-04-29,161.1200,166.2000,155.3800,157.6500,540082324
2022-04-22,163.9200,171.5300,161.5000,161.7900,376576076
2022-04-14,168.7100,171.2700,165.0400,165.2900,297460188
2022-04-08,174.5700,178.4900,169.2000,170.0900,390677922
2022-04-01,172.1700,179.6100,171.9400,174.3100,465395123
2022-03-25,163.5100,175.2800,163.0150,174.7200,438484780
2022-03-18,151.4500,164.4800,150.1000,163.9800,501667481
2022-03-11,163.3600,165.0200,154.5000,154.7300,521334165
2022-03-04,163.0600,168.9100,161.9700,163.1700,418753837
2022-02-25,164.9800,166.6900,152.0000,164.8500,413588646
2022-02-18,167.3700,173.3400,166.1900,167.3000,364011266
2022-02-11,172.8600,176.6500,168.0400,168.6400,412902045
2022-02-04,170.1600,176.2399,169.5100,172.3900,458553231
2022-01-28,160.0200,170.3500,154.7000,170.3300,688670659
2022-01-21,171.5100,172.5400,162.3000,162.4100,397684401
2022-01-14,169.0800,177.1800,168.1700,173.0700,422454950
2022-01-07,177.8300,182.9400,171.0300,172.1700,482162362
2021-12-31,177.0850,181.3300,177.0700,177.5700,337847299
2021-12-23,168.2800,176.8499,167.4600,176.2800,359176889
2021-12-17,181.1150,182.1300,169.6900,171.1400,769789942
2021-12-10,164.2900,179.6300,164.2800,179.4500,569227705
2021-12-03,159.3700,170.3000,157.8000,161.8400,669981566
2021-11-26,161.6800,165.7000,156.3600,156.8100,359933163
2021-11-19,150.3700,161.0200,149.3400,160.5500,462419283
2021-11-12,151.4100,151.5700,147.4800,149.9900,281026556
2021-11-05,148.9850,152.4300,147.8000,151.2800,322688958
2021-10-29,148.6800,153.1650,146.4128,149.8000,392739936
2021-10-22,143.4450,150.1800,143.1600,148.6900,340691290
2021-10-15,142.2700,144.8950,139.2000,144.8400,354098233
2021-10-08,141.7600,144.2150,138.2700,142.9000,382910000
2021-10-01,145.4700,145.9600,139.1101,142.6500,441421358
2021-09-24,143.8000,147.4701,141.2700,146.9200,394033205
2021-09-17,150.6300,151.4200,145.7600,146.0600,492884912
2021-09-10,154.9700,157.2600,148.7000,148.9700,354897433
2021-09-03,149.0000,154.9800,148.6100,154.3000,386760934
2021-08-27,148.3100,150.8600,146.8300,148.6000,272129118
2021-08-20,148.5350,151.6800,144.5000,148.1900,429624447
2021-08-13,146.2000,149.4444,145.3000,149.1000,299050639
2021-08-06,146.3600,148.0450,145.1800,146.1400,284559337
2021-07-30,148.2700,149.8300,142.5400,145.8600,420947531
2021-07-23,143.7500,148.7177,141.6700,148.5600,441563639
2021-07-16,146.2100,150.0000,143.6300,146.3900,504249326
2021-07-09,140.0700,145.6500,140.0700,145.1100,418559640
2021-07-02,133.4100,140.0000,133.3500,139.9600,321360130
2021-06-25,130.3000,134.6400,129.2100,133.1100,354155878
2021-06-18,127.8200,132.5500,127.0700,130.4600,456667151
2021-06-11,126.1700,128.4600,124.8321,127.3500,327048055
2021-06-04,125.0800,126.1600,123.1300,125.8900,278314493
2021-05-28,126.0100,128.3200,124.5500,124.6100,357615057
2021-05-21,126.8200,128.0000,122.8600,125.4300,386352101
2021-05-14,129.4100,129.5400,122.2500,127.4500,514165627
2021-05-07,132.0400,134.0700,126.7000,130.2100,453802325
2021-04-30,134.8300,137.0700,131.0650,131.4600,501621389
2021-04-23,133.5100,135.5300,131.3001,134.3200,421246935
2021-04-16,132.5200,135.0000,130.6300,134.1600,444178798
2021-04-09,123.8700,133.0400,123.0700,132.9950,447820438
2021-04-01,121.6500,124.1800,118.8600,123.0000,359904082
2021-03-26,120.3300,124.2400,118.9200,121.2100,488825826
2021-03-19,121.4100,127.2200,119.6750,119.9900,626770404
2021-03-12,120.9300,123.2100,116.2100,121.0300,586977280
2021-03-05,123.7500,128.7200,117.5700,121.4200,663456753
2021-02-26,128.0100,129.7200,118.3900,121.2600,680391444
2021-02-19,135.4900,136.0100,127.4100,129.8700,362474097
2021-02-12,136.0300,137.8770,133.6921,135.3700,344357350
2021-02-05,133.7500,137.4200,130.9300,136.7600,438264070
2021-01-29,143.0700,145.0900,130.2100,131.9600,716990967
2021-01-22,127.7800,139.8500,126.9380,139.0700,430065722
2021-01-15,129.1900,131.4500,126.8600,127.1400,481518252
2021-01-08,133.5200,133.6116,126.3820,132.0500,610791157
2020-12-31,133.9900,138.7890,131.7200,132.6900,439740666
2020-12-24,125.0200,134.4050,123.4490,131.9700,433757134
2020-12-18,122.6000,129.5800,121.5400,126.6550,621758148
2020-12-11,122.3100,125.9500,120.1500,122.4100,452278651
2020-12-04,116.9700,123.7800,116.8100,122.2500,541563385
2020-11-27,117.1800,117.6202,112.5900,116.5900,364376131
2020-11-20,118.9200,120.9900,116.8100,117.3400,389493361
2020-11-13,120.5000,121.9900,114.1300,119.2600,589872919
2020-11-06,109.1100,119.6200,107.3200,118.6900,609571825
2020-10-30,114.0100,117.2800,107.7200,108.8600,684767901
2020-10-23,119.9600,120.4190,114.2800,115.0400,519569644
2020-10-16,120.0600,125.3900,118.1500,119.0200,881572555
2020-10-09,113.9100,117.0000,112.2500,116.9700,548575054
2020-10-02,115.0100,117.7200,112.2200,113.0200,641240539
2020-09-25,104.5400,112.8600,103.1000,112.2800,847212649
2020-09-18,114.7200,118.8290,106.0900,106.8400,944934651
2020-09-11,113.9500,120.5000,110.0000,112.0000,771441734
2020-09-04,127.5800,137.9800,110.8900,120.9600,1166301669
2020-08-28,514.7900,515.1400,492.2100,499.2300,265909531
2020-08-21,464.2500,499.4720,455.8501,497.4800,208464758
2020-08-14,450.4000,464.1700,436.4267,459.6300,235474473
2020-08-07,432.8000,457.6500,431.5700,444.4500,250852555
2020-07-31,374.8400,425.6600,372.9900,425.0400,211898609
2020-07-24,385.6700,397.0000,356.5800,370.4600,165885792
2020-07-17,389.0600,399.8200,375.5100,385.3100,179660754
2020-07-10,370.0000,385.2700,369.8700,383.6800,141212101
2020-07-02,353.2500,370.4700,351.2800,364.1100,124222310
2020-06-26,351.3400,372.3800,351.1500,353.6300,220750873
2020-06-19,333.2500,356.5600,332.5800,349.7200,194985086
2020-06-12,330.2500,354.7700,327.3200,338.8000,202956789
2020-06-05,317.7500,331.7500,317.2100,331.5000,124490802
2020-05-29,323.5000,324.2400,313.0900,317.9400,131465363
2020-05-22,313.1700,320.8900,310.3200,318.8900,133274690
2020-05-15,308.1000,319.6900,300.2100,307.7100,208536826
2020-05-08,289.1700,310.3500,286.3200,310.1300,168228968
2020-05-01,281.8000,299.0000,278.2000,289.0700,197513427
2020-04-24,277.9500,283.0100,265.4300,282.9700,169846750
2020-04-17,268.3100,288.2500,265.8300,282.8000,207386812
2020-04-09,250.9000,271.7000,249.3800,267.9900,183929846
2020-04-03,250.7400,262.4900,236.9000,241.4100,209252759
2020-03-27,228.0800,258.6800,212.6100,247.7400,346165813
2020-03-20,241.9500,259.0800,228.0000,229.2400,405065837
2020-03-13,263.7500,286.4400,248.0000,277.9700,404405247
2020-03-06,282.2800,304.0000,277.7200,289.0300,323450224
2020-02-28,297.2600,304.1800,256.3700,273.3600,349768234
2020-02-21,315.3600,324.6500,310.5000,313.0500,119254440
2020-02-14,314.1800,327.2200,313.8500,324.9500,123065907
2020-02-07,304.3000,325.2200,302.2200,320.0300,163134650
2020-01-31,310.0600,327.8500,304.8800,309.5100,216776323
2020-01-24,317.1900,323.3300,315.6500,318.3100,115445527
2020-01-17,311.6400,318.7400,309.5500,318.7300,162824452
2020-01-10,293.7900,312.6700,292.7500,310.3300,168452059
2020-01-03,289.4600,300.6000,285.2200,297.4300,131852981
2019-12-27,280.5300,293.9700,280.3700,289.8000,96724537
2019-12-20,277.0000,282.6500,276.9800,279.4400,183341280
2019-12-13,270.0000,275.3000,264.9100,275.1500,142408267
2019-12-06,267.2700,271.0000,256.2900,270.7100,115090042
2019-11-29,262.7100,268.0000,262.5000,267.2500,75404884
2019-11-22,265.8000,268.0000,260.4000,261.7800,114060454
2019-11-15,258.3000,265.7800,258.2800,265.7600,115661500
2019-11-08,257.3300,260.4400,255.3700,260.1400,106014081
2019-11-01,247.4200,255.9300,237.2600,255.8200,163067611
2019-10-25,237.5200,246.7300,237.3200,246.5800,100713664
2019-10-18,234.9000,238.1300,233.2000,236.4100,108261581
