timestamp,open,high,low,close,volume
2024-11-13,152.0000,152.5000,139.1000,139.9700,50795327
2024-11-08,154.6200,157.6600,144.1300,151.6800,89192349
2024-11-01,153.5000,156.9100,147.5800,154.5900,186401231
2024-10-25,160.2500,163.4400,151.9800,155.0100,54517196
2024-10-18,148.0000,157.1400,146.0200,155.0000,41656808
2024-10-11,155.0000,158.7599,146.2600,151.0200,46057048
2024-10-04,154.7900,156.4000,149.4900,155.0000,40256384
2024-09-27,153.0000,158.4300,151.6500,156.3200,48530775
2024-09-20,156.2500,158.8800,152.6000,153.2900,49282221
2024-09-13,162.3000,164.5500,155.6000,156.7700,45883099
2024-09-06,167.0300,169.6000,156.6950,157.6200,37054882
2024-08-30,173.0000,175.2800,170.1500,173.7400,20146038
2024-08-23,180.0400,180.7000,170.0400,174.9600,25130930
2024-08-16,167.7300,180.5100,162.6200,179.9900,27717421
2024-08-09,162.5200,169.8500,162.5000,167.9100,29958175
2024-08-02,186.7000,196.9500,167.2500,169.9500,49444329
2024-07-26,181.3600,189.5900,177.2300,186.8900,30007028
2024-07-19,183.5000,188.4500,177.3900,179.6700,29111070
2024-07-12,186.9400,191.5000,180.4500,182.3100,27388957
2024-07-05,182.2000,189.4700,182.2000,184.8300,19222340
2024-06-28,176.1500,184.4350,173.2900,182.0100,35736058
2024-06-21,176.7500,180.4500,172.0450,176.5600,25084199
2024-06-14,190.0000,192.6300,175.2200,177.2700,23950446
2024-06-07,178.0900,192.1000,178.0197,190.2400,31389051
2024-05-31,174.7300,178.4914,171.5501,177.6100,18643226
2024-05-24,184.6500,188.6300,169.5700,174.5200,40968423
2024-05-17,179.0400,185.3799,176.1700,184.9500,26206186
2024-05-10,180.8800,183.9800,174.7100,178.5100,30790442
2024-05-03,167.9000,180.4900,167.5000,179.7900,37900297
2024-04-26,169.8200,177.6400,159.7000,167.2200,52959077
2024-04-19,170.7400,172.0400,167.5300,169.8200,32456903
2024-04-12,182.1400,184.5500,169.3700,169.5500,42225400
2024-04-05,192.2400,192.8673,182.4400,183.1400,26467045
2024-03-28,196.0100,196.1800,186.8100,192.9900,33769610
2024-03-22,180.2600,192.9400,177.5194,188.8500,45179223
2024-03-15,194.2100,196.0700,180.5200,182.5300,63488285
2024-03-08,199.5000,203.8000,196.9200,198.4900,31960695
2024-03-01,201.0100,208.1000,199.0100,200.0000,36674469
2024-02-23,203.5500,205.5800,197.1500,200.8300,23375101
2024-02-16,208.7000,209.8000,202.2100,203.8900,30139668
2024-02-09,204.6400,213.7700,202.0000,209.2000,34129413
2024-02-02,206.0600,214.6324,199.1400,209.3800,60220507
2024-01-26,213.0700,217.5900,198.3200,205.4700,66115012
2024-01-19,210.0700,215.1600,199.5000,215.0200,89822295
2024-01-12,228.0000,233.8500,217.0400,217.7000,97417720
2024-01-05,257.2800,258.5900,243.0000,249.0000,22047493
2023-12-29,259.8000,264.6600,257.6800,260.6600,16112430
2023-12-22,260.6300,267.5400,259.2000,260.4400,28274856
2023-12-15,243.5000,265.5200,243.3100,264.2700,41657103
2023-12-08,231.3000,244.7000,230.0000,244.7000,26889460
2023-12-01,218.8100,235.3800,217.6600,233.8700,32625825
2023-11-24,211.0100,221.5900,210.9400,220.0000,24647849
2023-11-17,203.4900,211.0900,202.5100,208.0400,33749851
2023-11-10,195.8800,197.2600,189.5700,196.6500,20585762
